<eps> 0
+sil+ 1
NSN 2
aa 3
ai 4
an 5
au 6
bb 7
ch 8
dd 9
ee 10
ei 11
eu 12
ff 13
gg 14
gn 15
ii 16
jj 17
kk 18
ll 19
mm 20
nn 21
on 22
oo 23
ou 24
pp 25
rr 26
ss 27
tt 28
un 29
uu 30
uy 31
vv 32
ww 33
yy 34
zz 35
